id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
80172865-1c4f-5bae-aa82-5994138cf177	20020131	1	900000000000207008	900000000000508004	900000000000028013	900000000000548007
802cc534-630d-58d6-b65d-0bdcd5ca2769	20020131	1	900000000000207008	900000000000508004	665158015	900000000000548007
80362497-28e0-5106-9113-47bf122e80eb	20020131	1	900000000000207008	900000000000508004	564438015	900000000000548007
80493532-d2e9-550b-84a0-2115596caa54	20130731	1	900000000000207008	900000000000508004	2968032011	900000000000548007
805d39b6-428f-5b4b-83a6-8817b991d896	20020131	1	900000000000207008	900000000000508004	646032016	900000000000548007
8068fb4a-d66e-5620-b914-e51adf0e7570	20140131	1	900000000000207008	900000000000509007	2985223014	900000000000548007
8091fc1b-ad66-5857-ad3b-65d8c3c02a72	20020131	1	900000000000207008	900000000000508004	701497017	900000000000548007
80970f98-28ef-5045-9c43-01148482906a	20150131	1	900000000000207008	900000000000508004	3013810010	900000000000548007
80e81e63-b652-5c04-afb6-44f0733b346f	20020131	1	900000000000207008	900000000000509007	754733011	900000000000548007
80ecdfce-84c4-5d2f-b6dd-30cac62d1fae	20020131	1	900000000000207008	900000000000509007	805581015	900000000000548007
81375d41-0252-5189-8554-fb3dce104e4d	20040131	1	900000000000207008	900000000000508004	2157587013	900000000000548007
8137d22b-48c9-582c-ae87-30fabc0dc899	20020131	1	900000000000207008	900000000000508004	723706017	900000000000548007
81393f7d-9fb2-5c77-90f6-7d0bd7036bdf	20150131	1	900000000000207008	900000000000509007	3012789016	900000000000548007
813eaaba-c3d2-5e28-bd64-b8609a4420c8	20020131	1	900000000000207008	900000000000508004	818163016	900000000000548007
81710953-3653-5adc-8e5f-81a2ce074235	20160131	1	900000000000207008	900000000000508004	3286089018	900000000000548007
8172697c-fdee-518e-b78f-de454767f4eb	20020731	1	900000000000207008	900000000000509007	1195424013	900000000000548007
817b98e2-06ab-5f46-9b4f-47d8461590b6	20020131	1	900000000000207008	900000000000508004	808165018	900000000000548007
818e0c98-6f77-59c8-942e-b77d8b2e1592	20060731	0	900000000000207008	900000000000508004	550865013	900000000000548007
818f04b2-efe2-59dd-a437-7bc16c436cf4	20030731	1	900000000000207008	900000000000509007	1766955018	900000000000548007
821dd0ce-d834-5708-85e1-66832733227d	20070131	0	900000000000207008	900000000000508004	648723016	900000000000548007
82515ea8-2e87-5a2e-8a4b-d699aa5bc229	20020131	1	900000000000207008	900000000000509007	670811010	900000000000548007
8251732d-2208-53b2-abd4-a3f43344dbe6	20020131	1	900000000000207008	900000000000509007	783590013	900000000000548007
825f98a4-186e-562f-89da-f55134cd0d07	20020131	1	900000000000207008	900000000000509007	627008012	900000000000548007
82b830ad-b16d-4bab-87f5-7e3299e62291	20170731	1	900000000000012004	900000000000509007	3450372016	900000000000548007
82f4f8a8-d6d9-53b1-8731-31c3f98ee4fb	20020131	1	900000000000207008	900000000000508004	764984018	900000000000548007
833ab3c0-a9ac-57f6-ac2d-b4d8ea5298f9	20020131	1	900000000000207008	900000000000509007	828648019	900000000000548007
834c3006-9f04-4f08-a007-8e3d964cc127	20170731	1	900000000000012004	900000000000508004	3498415019	900000000000548007
83711f81-cbd7-5754-8883-57c034931b37	20030731	1	900000000000207008	900000000000509007	1763792017	900000000000548007
837740af-95ab-56e9-94d7-8ad90ca219d4	20070131	1	900000000000207008	900000000000508004	2638123016	900000000000548007
83811831-0423-56e6-99bb-5969e66fa48e	20020731	1	900000000000207008	900000000000509007	1194069016	900000000000548007
8385d087-d64a-5514-b522-8850c8ae0b75	20020131	1	900000000000207008	900000000000509007	674754016	900000000000548007
8391f065-dd3e-5895-9653-708df485c15f	20070131	0	900000000000207008	900000000000509007	750783012	900000000000548007
839c0009-28bb-5c92-8360-afd206a87d55	20020131	1	900000000000207008	900000000000509007	698466013	900000000000548007
83a15d6d-bd14-44f3-a8bd-c441d707a38b	20170731	1	900000000000207008	900000000000509007	3463929019	900000000000548007
83e27b0c-8266-5bc4-9f39-1b2c1183ea78	20030731	1	900000000000207008	900000000000508004	1767901010	900000000000548007
83e34a50-7116-5c5c-a00c-94586dd35187	20020131	1	900000000000207008	900000000000509007	780549011	900000000000548007
83fcdb0e-8ac6-55b0-8f4f-21f9bb66f3f4	20020131	1	900000000000207008	900000000000508004	785715019	900000000000548007
83ff6801-8d9c-5b59-a316-f0c6a8aad135	20070131	0	900000000000207008	900000000000509007	750818016	900000000000548007
842fa62f-0ed9-55bf-bf81-36b6b679bf56	20040131	1	900000000000207008	900000000000509007	2151765011	900000000000548007
8435db8c-4c20-5c97-8446-ed77334949cf	20040731	0	900000000000207008	900000000000508004	753422017	900000000000548007
8454a499-b08d-552d-94ca-1a75eb6ec997	20140131	1	900000000000207008	900000000000508004	2985322018	900000000000548007
8468b46b-34ec-5440-ad05-9b0ab681f1b9	20020131	1	900000000000207008	900000000000508004	551230012	900000000000548007
848bf20b-d444-51f3-ab83-cb974f31759e	20020131	1	900000000000207008	900000000000508004	750457018	900000000000548007
84928a7b-88aa-5ddc-8692-7c3fab64a1e9	20060731	1	900000000000207008	900000000000509007	2613948014	900000000000548007
84ba9e1c-d1b4-502a-8baf-f2f01476b698	20130731	1	900000000000207008	900000000000509007	2968006017	900000000000548007
84c0ad13-5991-5fd4-acbb-47582eff6dc6	20020131	1	900000000000207008	900000000000509007	797773017	900000000000548007
84c34748-55f8-5ed5-8082-9a5615d7299b	20060731	0	900000000000207008	900000000000509007	550866014	900000000000548007
84efa957-e778-56c2-b3a0-d141292bd878	20020131	1	900000000000207008	900000000000509007	711374013	900000000000548007
84f685b3-cf61-5d2a-9745-7448befd3727	20060731	1	900000000000207008	900000000000509007	2606583018	900000000000548007
85309189-e12f-5ffb-b2c7-628e50f75e83	20020131	1	900000000000207008	900000000000509007	754728012	900000000000548007
85449c14-e96d-5eda-9a3e-cf8077a5a068	20150731	1	900000000000207008	900000000000509007	3075575018	900000000000548007
85495ca4-d932-59cf-8ef7-ca0588266ec8	20020131	1	900000000000207008	900000000000509007	630435015	900000000000548007
85521337-5c85-5e5b-ae22-8ccbc2244b74	20020131	1	900000000000207008	900000000000509007	733460015	900000000000548007
85551f3e-e897-5b39-b2c2-ceea683117ca	20020131	1	900000000000207008	900000000000509007	782806014	900000000000548007
