id	effectiveTime	active	moduleId	sourceId	destinationId	relationshipGroup	typeId	characteristicTypeId	modifierId
2552975022	20080131	0	900000000000207008	93749002	126953009	0	116680003	900000000000011006	900000000000451002
2552976023	20040731	1	900000000000207008	93749002	93727008	0	116680003	900000000000011006	900000000000451002
2552985023	20040731	1	900000000000207008	93768004	188340000	0	116680003	900000000000011006	900000000000451002
2553102028	20040731	1	900000000000207008	94267001	188340000	0	116680003	900000000000011006	900000000000451002
2553103022	20040731	1	900000000000207008	94267001	94491007	0	116680003	900000000000011006	900000000000451002
2553120021	20040731	1	900000000000207008	94326009	126631009	0	116680003	900000000000011006	900000000000451002
2553121020	20040731	1	900000000000207008	94326009	255056009	0	116680003	900000000000011006	900000000000451002
2553525024	20060731	0	900000000000207008	363023007	371571005	0	116680003	900000000000011006	900000000000451002
2553605025	20040731	1	900000000000207008	363482009	127024001	0	116680003	900000000000011006	900000000000451002
2553606029	20040731	1	900000000000207008	363482009	188286001	0	116680003	900000000000011006	900000000000451002
2555243022	20070131	0	900000000000207008	175129009	363072000	0	116680003	900000000000011006	900000000000451002
2555244027	20070731	0	900000000000207008	175129009	373324009	0	116680003	900000000000011006	900000000000451002
2555347021	20040731	1	900000000000207008	178358000	363743006	0	116680003	900000000000011006	900000000000451002
2555696023	20040731	1	900000000000207008	188339002	188340000	0	116680003	900000000000011006	900000000000451002
2555697025	20040731	1	900000000000207008	188340000	363482009	0	116680003	900000000000011006	900000000000451002
2557543022	20050731	0	900000000000207008	263502005	106237007	0	116680003	900000000000011006	900000000000451002
2558883024	20110131	1	900000000000012004	131195008	410662002	0	116680003	900000000000011006	900000000000451002
2559074020	20110131	1	900000000000012004	405815000	410662002	0	116680003	900000000000011006	900000000000451002
2559075021	20110131	1	900000000000012004	405816004	410662002	0	116680003	900000000000011006	900000000000451002
2559218020	20040731	1	900000000000207008	410942007	105590001	0	116680003	900000000000011006	900000000000451002
2559366026	20040731	1	900000000000207008	363679005	386053000	0	116680003	900000000000011006	900000000000451002
2559370023	20110131	1	900000000000012004	363698007	410662002	0	116680003	900000000000011006	900000000000451002
2559371022	20110131	1	900000000000012004	363701004	410662002	0	116680003	900000000000011006	900000000000451002
2559372026	20110131	1	900000000000012004	363702006	410662002	0	116680003	900000000000011006	900000000000451002
2559373020	20110131	1	900000000000012004	363703001	410662002	0	116680003	900000000000011006	900000000000451002
2559374025	20110131	1	900000000000012004	363704007	410662002	0	116680003	900000000000011006	900000000000451002
2559375029	20110131	1	900000000000012004	363705008	410662002	0	116680003	900000000000011006	900000000000451002
2559376028	20110131	1	900000000000012004	363713009	410662002	0	116680003	900000000000011006	900000000000451002
2559377021	20110131	1	900000000000012004	363714003	410662002	0	116680003	900000000000011006	900000000000451002
2559843024	20050131	0	900000000000207008	411116001	106237007	0	116680003	900000000000011006	900000000000451002
2562046028	20050131	0	900000000000207008	284009009	370227000	0	116680003	900000000000011006	900000000000451002
2563271027	20050731	0	900000000000207008	371881003	106237007	0	116680003	900000000000011006	900000000000451002
2563862025	20080131	0	900000000000207008	373311009	71388002	0	116680003	900000000000011006	900000000000451002
2563939026	20040731	1	900000000000207008	373782009	410942007	0	116680003	900000000000011006	900000000000451002
2564141024	20110131	1	900000000000012004	370129005	410662002	0	116680003	900000000000011006	900000000000451002
2564142028	20110131	1	900000000000012004	370130000	410662002	0	116680003	900000000000011006	900000000000451002
2564143022	20110131	1	900000000000012004	370131001	410662002	0	116680003	900000000000011006	900000000000451002
2564144027	20110131	1	900000000000012004	370132008	410662002	0	116680003	900000000000011006	900000000000451002
2564145026	20110131	1	900000000000012004	370134009	410662002	0	116680003	900000000000011006	900000000000451002
2564146025	20110131	1	900000000000012004	370135005	410662002	0	116680003	900000000000011006	900000000000451002
2565675025	20040731	1	900000000000207008	410510008	288529006	0	116680003	900000000000011006	900000000000451002
2565858023	20110131	1	900000000000012004	410662002	246061005	0	116680003	900000000000011006	900000000000451002
2565871021	20060131	0	900000000000207008	410675002	246379000	0	116680003	900000000000011006	900000000000451002
2566761021	20140131	0	900000000000207008	413344004	278861008	0	123005000	900000000000227009	900000000000451002
2566762025	20140131	0	900000000000207008	413344004	362608006	0	123005000	900000000000227009	900000000000451002
2566763024	20140131	0	900000000000207008	413344004	229765004	0	123005000	900000000000227009	900000000000451002
2567291022	20070131	0	900000000000207008	175890004	312288001	1	405816004	900000000000011006	900000000000451002
2568605025	20050131	0	900000000000207008	106104001	364644000	0	363714003	900000000000011006	900000000000451002
2569562026	20070131	0	900000000000207008	108273007	91723000	1	363704007	900000000000011006	900000000000451002
2570087024	20080731	0	900000000000207008	225426007	410942007	1	363701004	900000000000011006	900000000000451002
2575188029	20080731	0	900000000000207008	237715007	4147007	1	116676008	900000000000011006	900000000000451002
2575192020	20070731	1	900000000000207008	237721006	56329008	1	363698007	900000000000011006	900000000000451002
2575193026	20070731	1	900000000000207008	237721006	15328005	2	363698007	900000000000011006	900000000000451002
2576264026	20080731	0	900000000000207008	241215000	360037004	1	260686004	900000000000011006	900000000000451002
2576593027	20120731	0	900000000000207008	243930007	302552004	0	123005000	900000000000227009	900000000000451002
2577861021	20050131	0	900000000000207008	248842004	364644000	0	363714003	900000000000011006	900000000000451002
2578432025	20050131	0	900000000000207008	112695004	38866009	1	363704007	900000000000011006	900000000000451002
2579326029	20080731	0	900000000000207008	113021009	113257007	1	363704007	900000000000011006	900000000000451002
2579401023	20080731	0	900000000000207008	255112006	67923007	1	363698007	900000000000011006	900000000000451002
2580268026	20050131	1	900000000000207008	272612002	262225004	0	123005000	900000000000227009	900000000000451002
2580380020	20080731	0	900000000000207008	276341003	113257007	1	363704007	900000000000011006	900000000000451002
2581111025	20120731	0	900000000000207008	280717001	302552004	0	123005000	900000000000227009	900000000000451002
2583353025	20120731	0	900000000000207008	289959001	302552004	0	123005000	900000000000227009	900000000000451002
2583930024	20140131	0	900000000000207008	297167000	77568009	0	123005000	900000000000227009	900000000000451002
2584532027	20160131	1	900000000000207008	118199002	364644000	0	363714003	900000000000011006	900000000000451002
2584594028	20160131	1	900000000000207008	118228005	364644000	0	363714003	900000000000011006	900000000000451002
2584613025	20050131	0	900000000000207008	118232004	364644000	0	363714003	900000000000011006	900000000000451002
2584810025	20120731	0	900000000000207008	302552004	262225004	0	123005000	900000000000227009	900000000000451002
2585041021	20070131	0	900000000000207008	303678006	52530000	1	363704007	900000000000011006	900000000000451002
2585044029	20080731	0	900000000000207008	303808007	360037004	1	260686004	900000000000011006	900000000000451002
2585059024	20050131	0	900000000000207008	303827001	29092000	1	363704007	900000000000011006	900000000000451002
2585060025	20070131	0	900000000000207008	303827001	306955007	1	363704007	900000000000011006	900000000000451002
2585061026	20050131	0	900000000000207008	303829003	29092000	1	363704007	900000000000011006	900000000000451002
2585099022	20120731	0	900000000000207008	304036007	302552004	0	123005000	900000000000227009	900000000000451002
2585100025	20120731	0	900000000000207008	304037003	302552004	0	123005000	900000000000227009	900000000000451002
2585853021	20040731	1	900000000000207008	310789003	413344004	0	363698007	900000000000011006	900000000000451002
2586388021	20050131	0	900000000000207008	119759004	38866009	2	363704007	900000000000011006	900000000000451002
2586445028	20070131	0	900000000000207008	119804006	129357001	1	260686004	900000000000011006	900000000000451002
2586719020	20040731	1	900000000000207008	408766003	71388002	0	363702006	900000000000011006	900000000000451002
2587847020	20140131	0	900000000000207008	122495006	77568009	0	123005000	900000000000227009	900000000000451002
2588521020	20050131	0	900000000000207008	409598001	360037004	0	260686004	900000000000011006	900000000000451002
2588522029	20050131	0	900000000000207008	409598001	261004008	0	363703001	900000000000011006	900000000000451002
2588685023	20050131	1	900000000000207008	409708007	278198007	0	123005000	900000000000227009	900000000000451002
2588686024	20050131	1	900000000000207008	409708007	181217005	0	123005000	900000000000227009	900000000000451002
2589055020	20120731	0	900000000000207008	123961009	262225004	0	123005000	900000000000227009	900000000000451002
2590652025	20050131	0	900000000000207008	129125009	71388002	0	363589002	900000000000011006	900000000000451002
2591820023	20090131	0	900000000000207008	18629005	410942007	1	363701004	900000000000011006	900000000000451002
2594593021	20070131	0	900000000000207008	34945008	80891009	2	405813007	900000000000011006	900000000000451002
2594594026	20050131	0	900000000000207008	34945008	360037004	2	260686004	900000000000011006	900000000000451002
2594595025	20050131	0	900000000000207008	34945008	360037004	1	260686004	900000000000011006	900000000000451002
2596503025	20050131	0	900000000000207008	4626009	38866009	2	363704007	900000000000011006	900000000000451002
2596740024	20050131	0	900000000000207008	47585001	38866009	1	363704007	900000000000011006	900000000000451002
2597044026	20080731	0	900000000000207008	4970003	360037004	1	260686004	900000000000011006	900000000000451002
2597984021	20110731	1	900000000000207008	55574009	113257007	1	363704007	900000000000011006	900000000000451002
2601541023	20110131	0	900000000000207008	77343006	360037004	1	260686004	900000000000011006	900000000000451002
2602642022	20070131	0	900000000000207008	83788002	89545001	2	363704007	900000000000011006	900000000000451002
2604010027	20050131	1	900000000000207008	91397008	128530007	0	123005000	900000000000227009	900000000000451002
2605204026	20050731	0	900000000000207008	363186003	410942007	1	363701004	900000000000011006	900000000000451002
2613183020	20070731	1	900000000000207008	175129009	80891009	0	405813007	900000000000011006	900000000000451002
2621847023	20040731	1	900000000000207008	363691001	49062001	0	405815000	900000000000011006	900000000000451002
2650162025	20050131	1	900000000000207008	281229000	300848003	0	116680003	900000000000011006	900000000000451002
